Tm,Stadium,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18
Arizona Cardinals,State Farm Stadium,"1,141,794","586,830","554,964","63,697","61,707","63,243","69,810","63,919","68,867","63,290","66,742","63,982","71,752","78,427","63,628",Bye,"63,251","75,179","63,393","69,269","71,638"
Atlanta Falcons,Mercedes-Benz Stadium,"1,167,681","626,248","541,433","70,078","71,802","68,773","69,435","68,299","69,813","66,158","68,996","69,299","72,029","69,757","53,864","70,325",Bye,"70,041","70,467","69,269","69,276"
Baltimore Ravens,M&T Bank Stadium,"1,185,526","564,714","620,812","78,827","70,582","65,878","70,494","70,548","78,019","70,461","68,912","70,010",Bye,"70,677","59,560","70,443","66,326","67,431","70,467","71,042","65,849"
Buffalo Bills,Highmark Stadium,"1,107,077","547,450","559,627","73,846","70,683","66,206","70,494","70,764","73,586",Bye,"70,863","83,135","70,844","52,146","66,553","65,878","70,603","70,794","59,929",Bye,"70,753"
Carolina Panthers,Bank of America Stadium,"1,201,413","642,167","559,246","72,205","73,843","70,496","69,810","72,321","71,482","71,941","68,996","66,160","72,029","70,677","70,644",Bye,"68,672","73,548","69,173","69,298","70,118"
Chicago Bears,Soldier Field,"1,131,267","538,410","592,857","62,159","78,350","60,592","74,044","66,929","61,873","65,878","93,767","62,377","61,817","69,757","77,963","61,233",Bye,"48,423","59,929","66,169","60,007"
Cincinnati Bengals,Paycor Stadium,"1,109,393","463,733","645,660","65,841","92,944","73,708","67,260","70,548","70,004","66,158","67,431","66,160",Bye,"66,401","69,441","66,243","66,222","69,305","65,878",Bye,"65,849"
Cleveland Browns,FirstEnergy Stadium,"1,118,849","539,448","579,401","72,205","67,431","67,431","69,435","67,431","67,431","70,461","67,431",Bye,"66,563","52,146","67,431","66,523","66,222","67,431","67,431","50,827","65,019"
Dallas Cowboys,AT&T Stadium,"1,409,563","841,192","568,371","93,797","92,944","79,445","92,946","74,154","69,879","93,487","93,767",Bye,"78,433","65,304","93,568","93,086","93,843","69,050","93,754","69,292","62,814"
Denver Broncos,Empower Field at Mile High,"1,251,020","607,845","643,175","68,965","76,191","77,021","62,332","76,667","70,240","76,624","86,215",Bye,"69,240","76,056","70,644","70,443","76,072","75,179","71,525","73,571","74,035"
