Tm,Stadium,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18
Arizona Cardinals,State Farm Stadium,1140669,508197,632472,70006,64003,70414,65016,64280,65523,64810,Bye,92211,68723,65032,62413,61103,61970,71086,60673,61402,72004
Atlanta Falcons,Mercedes-Benz Stadium,1176441,564798,611643,71610,66859,71129,71492,Bye,72067,71217,71344,64628,72203,70739,70005,70012,68721,64917,60673,69313,69512
Baltimore Ravens,M&T Bank Stadium,1182226,632654,549572,70745,70487,70642,73552,70077,70055,Bye,70045,66132,66946,64230,70029,70066,70544,64907,70709,77660,65400
Buffalo Bills,Highmark Stadium,1199100,637896,561204,70745,80875,70641,71017,70802,72067,Bye,73505,71024,66030,71005,70451,66068,70613,64628,67580,71105,70944
Carolina Panthers,Bank of America Stadium,1194070,579343,614727,59957,64003,71129,64628,72301,71619,71047,73505,77864,72804,70739,71337,71292,Bye,70070,73530,73163,65082
Chicago Bears,Soldier Field,1079504,465014,614490,58742,64201,58389,62642,Bye,64457,58102,70045,66264,58884,66952,59658,69879,78214,54051,60152,71836,57036
Cincinnati Bengals,Paycor Stadium,1144396,584543,559853,65599,65871,66792,76489,66115,78277,66569,65526,66264,Bye,66132,65659,70066,70613,64907,65885,61402,62230
Cleveland Browns,Huntington Bank Field,1099436,581941,517495,65599,70487,65470,64494,61082,66738,63762,64628,Bye,72623,64230,62244,64042,62982,54051,67580,67194,62230
Dallas Cowboys,AT&T Stadium,1367559,743934,623625,69879,92781,58389,93353,81738,71619,93051,76545,92211,Bye,62625,93068,93739,64028,92991,92740,64407,74395
Denver Broncos,Empower Field at Mile High,1222301,687500,534801,75706,63910,70740,76489,69879,61155,76830,76545,70471,74692,76750,Bye,63159,62442,76809,76858,73045,76821
Detroit Lions,Ford Field,1137218,516719,620499,77239,64201,70642,64494,66115,73543,64656,Bye,64642,64470,69879,64238,66662,64028,74701,63798,66874,57036
Green Bay Packers,Lambeau Field,1266474,622788,643686,77239,77289,65470,93353,Bye,78277,64810,67386,77864,78254,82438,77991,66662,78214,76809,60152,77660,66606
Houston Texans,NRG Stadium,1174260,637391,536869,71346,71580,58161,70398,70077,Bye,68632,70581,70471,70531,55999,70451,65977,73611,71086,71160,73066,71133
Indianapolis Colts,Lucas Oil Stadium,1133795,594794,539001,64065,63910,56361,71257,64955,65523,71124,65816,66677,72203,Bye,73611,65977,60067,68771,66265,66080,71133
